date,instrument,reason
7/22/2020,3L,Engineer Overflow issue
7/14/2020,3L,Engineer Flow Rate
7/10/2020,3L,Engineer Flow Rate
6/16/2020,3L,Preventative Maintenance
6/8/2020,3L,Clog
5/27/2020,3L,Engineer Out Order Week
2/12/2020,3L,IT work computer
2/5/2020,3L,Instrument Issue Fan Resolved
1/25/2020,3L,Issue Cytek Expert
1/23/2020,3L,Data Maintenance
1/9/2020,3L,Engineer Fluidics Board
12/27/2019,3L,Engineer Maintenance Week
12/16/2019,3L,Software Upgrade Engineer
12/13/2019,3L,Database Backup
10/24/2019,3L,New filter for EV
10/7/2019,3L,Engineer Plate Loader
10/1/2019,3L,Loader Repair Software Update Engineer
9/3/2019,3L,Engineer Fluidics Leak
8/13/2019,3L,Engineer Plate Loader
7/30/2019,3L,Engineer Software Issue
7/1/2019,3L,Engineer Plate Loader Install
4/25/2019,3L,Long Clean
1/29/2019,3L,Long Clean
12/11/2018,3L,Long Clean
10/23/2018,3L,Long Clean
10/12/2018,3L,Engineer Sample Line Fluidics
10/4/2018,3L,Engineer Sample Line Adjustment
9/25/2018,3L,Engineer Maintenance
6/11/2018,3L,Engineer Upgrade and Optimization
6/1/2018,3L,Engineer Software Update
5/29/2018,3L,Engineer Software Update
5/22/2018,3L,Engineer Firmware Update
5/18/2018,3L,Engineer Software Update
5/15/2018,3L,Engineer Firmware Update
1/10/2025,CS,Engineer PMI Laser Alignment
9/25/2024,CS,Engineer PMI
7/12/2024,CS,Nozzle 85 130 Upgrade
3/8/2024,CS,Flow Rate Issue
3/4/2024,CS,QC Maintenance and Software
2/26/2024,CS,Engineer Upgrade  
2/19/2024,CS,Drop Delay Yellow Green Laser
2/7/2024,CS,QC Fail Engineer
1/2/2024,CS,Long Clean
12/19/2023,CS,QC Samples not running
12/12/2023,CS,Long Clean
11/2/2023,CS,Engineer Repair
10/30/2023,CS,QC Flow Rate 1 Issue
10/16/2023,CS,Flow Rate Issue
9/7/2023,CS,Laser Light Issue Engineer
8/1/2023,CS,Flow Rate Issue
6/6/2023,CS,Hood Repair
